step,time,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,muscle_fatigue,muscle_activation,muscle_recovery,avg_fatigue,force_scale,activation_slowdown,ctrl
48,0.96,[1.6775],[-0.3341],[14.2587  0.3144  0.2033  0.191   0.3657  0.2856  0.1199],[0.0635 0.0044 0.1028 0.5426 0.0431 0.5526],7.323342676667644,194.16820029567415,True,[0.0225],[0.002  0.0012 0.0019 0.0042 0.0026 0.0043],[0.0284 0.002  0.0707 0.5617 0.0432 0.5686],[0.9697 0.9968 0.9275 0.4341 0.9543 0.4271],0.0026767768250534527,1.0,1.0,[0.     0.0284 0.002  0.0707 0.5617 0.0432 0.5686]
49,0.98,[1.6754],[0.063],[14.2409  0.3144  0.2033  0.191   0.3658  0.2857  0.12  ],[0.0535 0.0038 0.1124 0.4879 0.0428 0.534 ],7.362741053872393,201.53094134954654,True,[0.0246],[0.002  0.0012 0.0019 0.0043 0.0026 0.0044],[0.0247 0.0018 0.1127 0.4291 0.0418 0.5148],[0.9733 0.997  0.8855 0.5666 0.9556 0.4808],0.002714858357750057,1.0,1.0,[0.     0.0247 0.0018 0.1127 0.4291 0.0418 0.5148]
50,1.0,[1.6798],[0.3329],[14.2786  0.3145  0.2034  0.191   0.3656  0.2854  0.1199],[0.0456 0.0033 0.1102 0.4415 0.0423 0.4965],7.41622378572023,208.94716513526677,True,[0.0202],[0.002  0.0012 0.0019 0.0044 0.0026 0.0045],[0.0224 0.0017 0.1047 0.387  0.0408 0.4562],[0.9756 0.9971 0.8934 0.6086 0.9567 0.5393],0.0027482922760244007,1.0,1.0,[0.     0.0224 0.0017 0.1047 0.387  0.0408 0.4562]
51,1.02,[1.6883],[0.4748],[14.3503  0.3146  0.2035  0.1912  0.3652  0.285   0.1197],[0.0396 0.003  0.1072 0.3976 0.0414 0.4441],7.481364478886898,216.42852961415366,True,[0.0117],[0.002  0.0012 0.0019 0.0044 0.0026 0.0045],[0.0215 0.0017 0.0999 0.3418 0.0389 0.3832],[0.9766 0.9971 0.8982 0.6537 0.9585 0.6123],0.0027783078312822915,1.0,1.0,[0.     0.0215 0.0017 0.0999 0.3418 0.0389 0.3832]
52,1.04,[1.6981],[0.4902],[14.4343  0.3148  0.2037  0.1914  0.3647  0.2845  0.1194],[0.0353 0.0027 0.1045 0.3547 0.0402 0.3867],7.550059091926046,223.9785887060797,True,[0.0019],[0.002  0.0012 0.0019 0.0045 0.0026 0.0046],[0.022  0.0016 0.0976 0.2959 0.0364 0.3133],[0.976  0.9972 0.9005 0.6997 0.9611 0.6821],0.002804577852948782,1.0,1.0,[0.     0.022  0.0016 0.0976 0.2959 0.0364 0.3133]
53,1.06,[1.7071],[0.3923],[14.5099  0.315   0.2039  0.1916  0.3642  0.2841  0.1192],[0.0324 0.0024 0.1019 0.3163 0.0386 0.3334],7.598463990229104,231.5770526963088,True,[-0.0071],[0.002  0.0012 0.002  0.0045 0.0026 0.0047],[0.0236 0.0016 0.0955 0.2591 0.0337 0.2578],[0.9744 0.9972 0.9026 0.7363 0.9637 0.7375],0.00282718964411015,1.0,1.0,[0.     0.0236 0.0016 0.0955 0.2591 0.0337 0.2578]
54,1.08,[1.713],[0.2048],[14.5602  0.3151  0.204   0.1917  0.3639  0.2838  0.1191],[0.0302 0.0022 0.0989 0.2857 0.0369 0.289 ],7.636226784564918,239.21327948087372,True,[-0.013],[0.002  0.0012 0.002  0.0046 0.0026 0.0047],[0.0232 0.0015 0.0913 0.2371 0.0316 0.2199],[0.9748 0.9973 0.9067 0.7583 0.9659 0.7754],0.0028468005769847564,1.0,1.0,[0.     0.0232 0.0015 0.0913 0.2371 0.0316 0.2199]
55,1.1,[1.7144],[-0.0412],[14.5726  0.3151  0.204   0.1917  0.3639  0.2837  0.119 ],[0.0282 0.002  0.0948 0.266  0.0353 0.2558],7.665822758679092,246.87910223955282,True,[-0.0144],[0.002  0.0012 0.002  0.0046 0.0026 0.0048],[0.0219 0.0014 0.084  0.2331 0.0303 0.1997],[0.9761 0.9974 0.914  0.7623 0.9671 0.7956],0.0028643751350886705,1.0,1.0,[0.     0.0219 0.0014 0.084  0.2331 0.0303 0.1997]
56,1.12,[1.7109],[-0.2741],[14.5431  0.3151  0.204   0.1917  0.364   0.2839  0.1191],[0.0261 0.0018 0.089  0.3044 0.0343 0.2354],7.657937062683204,254.53703930223602,True,[-0.0109],[0.002  0.0012 0.002  0.0047 0.0026 0.0048],[0.0196 0.0012 0.0739 0.3082 0.0315 0.199 ],[0.9784 0.9976 0.9241 0.6871 0.9659 0.7962],0.0028812445752352724,1.0,1.0,[0.     0.0196 0.0012 0.0739 0.3082 0.0315 0.199 ]
57,1.1400000000000001,[1.7035],[-0.4402],[14.4798  0.3149  0.2038  0.1915  0.3644  0.2843  0.1193],[0.024  0.0017 0.0828 0.3065 0.0368 0.2833],7.639987274229965,262.177026576466,True,[-0.0035],[0.002  0.0012 0.002  0.0047 0.0026 0.0048],[0.0172 0.001  0.0665 0.3068 0.0368 0.2875],[0.9808 0.9977 0.9315 0.6885 0.9606 0.7077],0.0029000349113101937,1.0,1.0,[0.     0.0172 0.001  0.0665 0.3068 0.0368 0.2875]
58,1.16,[1.6947],[-0.4032],[14.4046  0.3148  0.2037  0.1913  0.3648  0.2847  0.1195],[0.0218 0.0015 0.0762 0.4491 0.0453 0.3364],7.5208958902867735,269.6979224667528,True,[0.0053],[0.002  0.0012 0.002  0.0048 0.0026 0.0049],[0.0147 0.0009 0.0583 0.4707 0.0454 0.3424],[0.9833 0.9979 0.9396 0.5246 0.952  0.6528],0.0029215441095190972,1.0,1.0,[0.     0.0147 0.0009 0.0583 0.4707 0.0454 0.3424]
59,1.18,[1.6881],[-0.2702],[14.3487  0.3146  0.2035  0.1912  0.3652  0.285   0.1197],[0.0199 0.0014 0.0822 0.4099 0.045  0.3745],7.5185717857002725,277.21649425245306,True,[0.0119],[0.002  0.0012 0.002  0.0049 0.0026 0.0049],[0.014  0.0008 0.0823 0.361  0.0443 0.3796],[0.984  0.9979 0.9157 0.6341 0.9531 0.6155],0.0029493858102297133,1.0,1.0,[0.     0.014  0.0008 0.0823 0.361  0.0443 0.3796]
60,1.2,[1.6839],[-0.1638],[14.3131  0.3145  0.2034  0.1911  0.3654  0.2852  0.1198],[0.0183 0.0013 0.0802 0.3883 0.0472 0.3775],7.5257138534018395,284.7422081058549,True,[0.0161],[0.002  0.0012 0.0021 0.0049 0.0026 0.005 ],[0.0129 0.0008 0.0748 0.3599 0.0472 0.378 ],[0.9851 0.998  0.9232 0.6352 0.9501 0.617 ],0.002975488741013759,1.0,1.0,[0.     0.0129 0.0008 0.0748 0.3599 0.0472 0.378 ]
61,1.22,[1.6819],[-0.0448],[14.2958  0.3145  0.2034  0.1911  0.3655  0.2853  0.1198],[0.0168 0.0012 0.0766 0.4127 0.0509 0.3854],7.504882188859539,292.24709029471444,True,[0.0181],[0.002  0.0012 0.0021 0.005  0.0026 0.0051],[0.0119 0.0008 0.067  0.4165 0.051  0.3866],[0.9861 0.998  0.9309 0.5785 0.9464 0.6083],0.00300179333621422,1.0,1.0,[0.     0.0119 0.0008 0.067  0.4165 0.051  0.3866]
62,1.24,[1.6823],[0.0723],[14.2996  0.3145  0.2034  0.1911  0.3655  0.2853  0.1198],[0.0156 0.0012 0.0735 0.396  0.0507 0.3816],7.517792125898516,299.76488242061293,True,[0.0177],[0.002  0.0012 0.0021 0.0051 0.0026 0.0051],[0.0116 0.0008 0.0649 0.3743 0.0501 0.3765],[0.9864 0.998  0.933  0.6206 0.9472 0.6183],0.0030293326194864097,1.0,1.0,[0.     0.0116 0.0008 0.0649 0.3743 0.0501 0.3765]
63,1.26,[1.6847],[0.1495],[14.3198  0.3146  0.2035  0.1911  0.3653  0.2852  0.1197],[0.0146 0.0011 0.0709 0.3757 0.0503 0.371 ],7.538563128781775,307.3034455493947,True,[0.0153],[0.002  0.0012 0.0021 0.0051 0.0027 0.0052],[0.0115 0.0008 0.0637 0.3483 0.049  0.3564],[0.9865 0.998  0.9342 0.6465 0.9484 0.6384],0.0030552323581648794,1.0,1.0,[0.     0.0115 0.0008 0.0637 0.3483 0.049  0.3564]
64,1.28,[1.6881],[0.1792],[14.3487  0.3146  0.2035  0.1912  0.3652  0.285   0.1197],[0.014  0.0011 0.0688 0.3558 0.0496 0.3542],7.563638489314955,314.86708403870966,True,[0.0119],[0.002  0.0012 0.0021 0.0052 0.0027 0.0053],[0.0119 0.0008 0.0631 0.3279 0.0475 0.3304],[0.986  0.998  0.9348 0.6669 0.9498 0.6643],0.003079744730974563,1.0,1.0,[0.     0.0119 0.0008 0.0631 0.3279 0.0475 0.3304]
65,1.3,[1.6915],[0.1607],[14.3781  0.3147  0.2036  0.1913  0.365   0.2849  0.1196],[0.0136 0.0011 0.0672 0.3376 0.0486 0.3341],7.589570383413989,322.4566544221237,True,[0.0085],[0.002  0.0012 0.0021 0.0053 0.0027 0.0053],[0.0123 0.0008 0.0625 0.3112 0.0459 0.3048],[0.9856 0.998  0.9354 0.6835 0.9515 0.6899],0.0031027878826876292,1.0,1.0,[0.     0.0123 0.0008 0.0625 0.3112 0.0459 0.3048]
66,1.32,[1.6941],[0.0995],[14.4002  0.3147  0.2036  0.1913  0.3649  0.2847  0.1195],[0.0133 0.0011 0.0656 0.3228 0.0476 0.3143],7.612522588590501,330.06917701071416,True,[0.0059],[0.002  0.0012 0.0021 0.0053 0.0027 0.0054],[0.0123 0.0008 0.0614 0.3005 0.0444 0.2842],[0.9857 0.998  0.9365 0.6942 0.9529 0.7104],0.003124332098243627,1.0,1.0,[0.     0.0123 0.0008 0.0614 0.3005 0.0444 0.2842]
67,1.34,[1.6952],[0.007],[14.4089  0.3148  0.2037  0.1913  0.3648  0.2847  0.1195],[0.013  0.0011 0.064  0.3131 0.0465 0.2979],7.628866722122697,337.6980437328369,True,[0.0048],[0.002  0.0012 0.0021 0.0054 0.0027 0.0054],[0.012  0.0008 0.0594 0.2982 0.0435 0.2721],[0.9859 0.998  0.9385 0.6964 0.9538 0.7225],0.003144840258014247,1.0,1.0,[0.     0.012  0.0008 0.0594 0.2982 0.0435 0.2721]
68,1.36,[1.6943],[-0.0846],[14.4012  0.3147  0.2036  0.1913  0.3649  0.2847  0.1195],[0.0127 0.001  0.062  0.3295 0.0458 0.2875],7.624069134614924,345.3221128674518,True,[0.0057],[0.002  0.0012 0.0021 0.0054 0.0027 0.0055],[0.0115 0.0007 0.0564 0.3314 0.0434 0.2707],[0.9865 0.998  0.9415 0.6632 0.9539 0.7239],0.003165057191862041,1.0,1.0,[0.     0.0115 0.0007 0.0564 0.3314 0.0434 0.2707]
69,1.3800000000000001,[1.6918],[-0.1514],[14.3801  0.3147  0.2036  0.1913  0.365   0.2849  0.1196],[0.0122 0.001  0.06   0.3286 0.0457 0.3087],7.61072902460787,352.9328418920596,True,[0.0082],[0.002  0.0012 0.0022 0.0055 0.0027 0.0055],[0.0109 0.0007 0.0543 0.3272 0.0453 0.3109],[0.9871 0.9981 0.9436 0.6673 0.952  0.6836],0.0031862537703864543,1.0,1.0,[0.     0.0109 0.0007 0.0543 0.3272 0.0453 0.3109]
70,1.4000000000000001,[1.6886],[-0.15],[14.3532  0.3146  0.2035  0.1912  0.3651  0.285   0.1196],[0.0118 0.001  0.0578 0.3799 0.0487 0.3198],7.56984932174387,360.5026912138035,True,[0.0114],[0.002  0.0012 0.0022 0.0055 0.0027 0.0056],[0.0102 0.0007 0.0516 0.3868 0.0488 0.3211],[0.9878 0.9981 0.9462 0.6076 0.9485 0.6733],0.0032087736614149404,1.0,1.0,[0.     0.0102 0.0007 0.0516 0.3868 0.0488 0.3211]
71,1.42,[1.6861],[-0.105],[14.3318  0.3146  0.2035  0.1912  0.3653  0.2851  0.1197],[0.0114 0.001  0.0578 0.3682 0.0487 0.347 ],7.559716299840452,368.0624075136439,True,[0.0139],[0.002  0.0012 0.0022 0.0056 0.0027 0.0057],[0.01   0.0006 0.0577 0.3519 0.0485 0.3503],[0.988  0.9981 0.9401 0.6425 0.9488 0.6441],0.0032331343402927887,1.0,1.0,[0.     0.01   0.0006 0.0577 0.3519 0.0485 0.3503]
72,1.44,[1.6845],[-0.0641],[14.3179  0.3145  0.2034  0.1911  0.3653  0.2852  0.1197],[0.011  0.001  0.0574 0.3601 0.0493 0.346 ],7.563485296346516,375.62589280999043,True,[0.0155],[0.002  0.0012 0.0022 0.0057 0.0027 0.0057],[0.0098 0.0006 0.0563 0.3487 0.0493 0.3445],[0.9882 0.9982 0.9415 0.6456 0.948  0.6498],0.0032572473289887924,1.0,1.0,[0.     0.0098 0.0006 0.0563 0.3487 0.0493 0.3445]
73,1.46,[1.6836],[-0.026],[14.3105  0.3145  0.2034  0.1911  0.3654  0.2853  0.1198],[0.0106 0.001  0.0566 0.3646 0.0508 0.3448],7.560484387421067,383.1863771974115,True,[0.0164],[0.002  0.0012 0.0022 0.0057 0.0027 0.0058],[0.0095 0.0006 0.0544 0.3653 0.0508 0.3432],[0.9885 0.9982 0.9434 0.629  0.9464 0.651 ],0.0032813205462605814,1.0,1.0,[0.     0.0095 0.0006 0.0544 0.3653 0.0508 0.3432]
74,1.48,[1.6835],[0.0096],[14.3095  0.3145  0.2034  0.1911  0.3654  0.2853  0.1198],[0.0103 0.001  0.0558 0.361  0.0508 0.3435],7.563341871929237,390.74971906934076,True,[0.0165],[0.002  0.0012 0.0022 0.0058 0.0027 0.0058],[0.0093 0.0006 0.0534 0.356  0.0507 0.3416],[0.9886 0.9982 0.9444 0.6382 0.9465 0.6525],0.003305438619875501,1.0,1.0,[0.     0.0093 0.0006 0.0534 0.356  0.0507 0.3416]
75,1.5,[1.684],[0.0356],[14.3138  0.3145  0.2034  0.1911  0.3654  0.2852  0.1198],[0.0101 0.001  0.055  0.3562 0.0507 0.3411],7.568207472342232,398.317926541683,True,[0.016],[0.002  0.0012 0.0022 0.0059 0.0028 0.0059],[0.0092 0.0006 0.0528 0.3493 0.0505 0.3375],[0.9887 0.9982 0.945  0.6449 0.9467 0.6566],0.003329181703776352,1.0,1.0,[0.     0.0092 0.0006 0.0528 0.3493 0.0505 0.3375]
76,1.52,[1.6849],[0.0495],[14.3213  0.3146  0.2035  0.1911  0.3653  0.2852  0.1197],[0.0099 0.001  0.0544 0.3508 0.0506 0.337 ],7.574666193476087,405.8925927351591,True,[0.0151],[0.002  0.0012 0.0022 0.0059 0.0028 0.006 ],[0.0092 0.0006 0.0524 0.3432 0.0502 0.331 ],[0.9887 0.9982 0.9454 0.6509 0.9471 0.663 ],0.003352618206367348,1.0,1.0,[0.     0.0092 0.0006 0.0524 0.3432 0.0502 0.331 ]
77,1.54,[1.6859],[0.0499],[14.33    0.3146  0.2035  0.1912  0.3653  0.2851  0.1197],[0.0098 0.001  0.0538 0.3454 0.0504 0.3315],7.582092866901973,413.4746856020611,True,[0.0141],[0.002  0.0012 0.0022 0.006  0.0028 0.006 ],[0.0093 0.0006 0.0522 0.3376 0.0497 0.3234],[0.9886 0.9981 0.9455 0.6564 0.9475 0.6706],0.003375739712592032,1.0,1.0,[0.     0.0093 0.0006 0.0522 0.3376 0.0497 0.3234]
78,1.56,[1.6868],[0.0368],[14.3374  0.3146  0.2035  0.1912  0.3652  0.2851  0.1197],[0.0097 0.001  0.0534 0.3405 0.0501 0.3255],7.5894149020592865,421.06410050412035,True,[0.0132],[0.002  0.0012 0.0022 0.006  0.0028 0.0061],[0.0094 0.0006 0.052  0.3334 0.0492 0.3163],[0.9886 0.9981 0.9458 0.6606 0.948  0.6776],0.003398379798575478,1.0,1.0,[0.     0.0094 0.0006 0.052  0.3334 0.0492 0.3163]
79,1.58,[1.6872],[0.0126],[14.3415  0.3146  0.2035  0.1912  0.3652  0.2851  0.1197],[0.0096 0.001  0.0529 0.3369 0.0498 0.3199],7.595303709083009,428.65940421320335,True,[0.0128],[0.002  0.0012 0.0022 0.0061 0.0028 0.0061],[0.0093 0.0006 0.0516 0.3316 0.0489 0.3113],[0.9886 0.9982 0.9462 0.6623 0.9483 0.6825],0.00342055310520023,1.0,1.0,[0.     0.0093 0.0006 0.0516 0.3316 0.0489 0.3113]
80,1.6,[1.6872],[-0.0166],[14.3409  0.3146  0.2035  0.1912  0.3652  0.2851  0.1197],[0.0095 0.001  0.0524 0.3378 0.0495 0.3158],7.597069043999416,436.25647325720274,True,[0.0128],[0.0021 0.0012 0.0023 0.0062 0.0028 0.0062],[0.0092 0.0006 0.0508 0.3379 0.0488 0.3097],[0.9887 0.9982 0.9469 0.656  0.9484 0.6841],0.003442774848514428,1.0,1.0,[0.     0.0092 0.0006 0.0508 0.3379 0.0488 0.3097]
81,1.62,[1.6866],[-0.0393],[14.3358  0.3146  0.2035  0.1912  0.3652  0.2851  0.1197],[0.0094 0.001  0.0518 0.342  0.0495 0.3186],7.5924431596380435,443.8489164168408,True,[0.0134],[0.0021 0.0012 0.0023 0.0062 0.0028 0.0062],[0.0091 0.0006 0.05   0.3425 0.0494 0.3189],[0.9889 0.9982 0.9477 0.6513 0.9478 0.6748],0.0034655234893323054,1.0,1.0,[0.     0.0091 0.0006 0.05   0.3425 0.0494 0.3189]
82,1.6400000000000001,[1.6857],[-0.0479],[14.3281  0.3146  0.2035  0.1912  0.3653  0.2852  0.1197],[0.0093 0.001  0.0512 0.3468 0.0502 0.3246],7.585221655773191,451.43413807261396,True,[0.0143],[0.0021 0.0012 0.0023 0.0063 0.0028 0.0063],[0.0089 0.0006 0.0494 0.3475 0.0502 0.3253],[0.9891 0.9982 0.9483 0.6462 0.947  0.6684],0.003488682795020986,1.0,1.0,[0.     0.0089 0.0006 0.0494 0.3475 0.0502 0.3253]
83,1.6600000000000001,[1.6847],[-0.0442],[14.3202  0.3146  0.2035  0.1911  0.3653  0.2852  0.1197],[0.0092 0.001  0.0506 0.3482 0.0508 0.3309],7.579893655863638,459.0140317284776,True,[0.0153],[0.0021 0.0012 0.0023 0.0064 0.0028 0.0064],[0.0088 0.0006 0.0491 0.3484 0.0508 0.3317],[0.9892 0.9982 0.9487 0.6452 0.9464 0.662 ],0.003512186558965022,1.0,1.0,[0.     0.0088 0.0006 0.0491 0.3484 0.0508 0.3317]
84,1.68,[1.684],[-0.0287],[14.3139  0.3145  0.2034  0.1911  0.3654  0.2852  0.1198],[0.009  0.001  0.0502 0.3553 0.0514 0.3333],7.573583235044707,466.5876149635223,True,[0.016],[0.0021 0.0012 0.0023 0.0064 0.0028 0.0064],[0.0086 0.0006 0.0487 0.3562 0.0514 0.3336],[0.9893 0.9982 0.949  0.6374 0.9458 0.66  ],0.0035359150129351618,1.0,1.0,[0.     0.0086 0.0006 0.0487 0.3562 0.0514 0.3336]
85,1.7,[1.6836],[-0.0092],[14.3109  0.3145  0.2034  0.1911  0.3654  0.2853  0.1198],[0.0089 0.001  0.0501 0.3535 0.0514 0.3347],7.57354365649093,474.1611586200132,True,[0.0164],[0.0021 0.0012 0.0023 0.0065 0.0028 0.0065],[0.0086 0.0006 0.0498 0.3508 0.0513 0.3349],[0.9893 0.9982 0.9479 0.6427 0.9459 0.6587],0.0035596179372146346,1.0,1.0,[0.     0.0086 0.0006 0.0498 0.3508 0.0513 0.3349]
86,1.72,[1.6836],[0.0069],[14.3109  0.3145  0.2034  0.1911  0.3654  0.2853  0.1198],[0.0089 0.001  0.05   0.3514 0.0513 0.3343],7.57503509238411,481.7361937123973,True,[0.0164],[0.0021 0.0012 0.0023 0.0065 0.0028 0.0065],[0.0086 0.0006 0.0497 0.3484 0.0512 0.3337],[0.9894 0.9982 0.948  0.6451 0.9459 0.6598],0.0035828691991378887,1.0,1.0,[0.     0.0086 0.0006 0.0497 0.3484 0.0512 0.3337]
87,1.74,[1.6839],[0.0183],[14.3132  0.3145  0.2034  0.1911  0.3654  0.2852  0.1198],[0.0088 0.001  0.0499 0.3493 0.0513 0.3332],7.577177753079518,489.31337146547685,True,[0.0161],[0.0021 0.0012 0.0023 0.0066 0.0029 0.0066],[0.0086 0.0006 0.0496 0.3464 0.0511 0.3315],[0.9893 0.9982 0.948  0.647  0.946  0.6619],0.0036060939706183902,1.0,1.0,[0.     0.0086 0.0006 0.0496 0.3464 0.0511 0.3315]
88,1.76,[1.6843],[0.0242],[14.317   0.3145  0.2034  0.1911  0.3654  0.2852  0.1197],[0.0088 0.001  0.0498 0.3472 0.0512 0.3312],7.580009163448907,496.89338062892574,True,[0.0157],[0.0021 0.0012 0.0023 0.0067 0.0029 0.0067],[0.0087 0.0006 0.0496 0.3441 0.051  0.3284],[0.9893 0.9982 0.948  0.6493 0.9462 0.665 ],0.003629288002228712,1.0,1.0,[0.     0.0087 0.0006 0.0496 0.3441 0.051  0.3284]
89,1.78,[1.6848],[0.024],[14.3212  0.3146  0.2035  0.1911  0.3653  0.2852  0.1197],[0.0088 0.001  0.0498 0.3449 0.0511 0.3287],7.583325567484508,504.47670619641025,True,[0.0152],[0.0021 0.0012 0.0023 0.0067 0.0029 0.0067],[0.0088 0.0006 0.0498 0.3416 0.0507 0.3248],[0.9892 0.9982 0.9479 0.6517 0.9464 0.6685],0.0036523078515806385,1.0,1.0,[0.     0.0088 0.0006 0.0498 0.3416 0.0507 0.3248]
90,1.8,[1.6853],[0.0176],[14.3247  0.3146  0.2035  0.1911  0.3653  0.2852  0.1197],[0.0088 0.001  0.0498 0.3428 0.0509 0.3258],7.586635430440647,512.0633416268508,True,[0.0147],[0.0021 0.0012 0.0023 0.0068 0.0029 0.0068],[0.0088 0.0006 0.0497 0.3397 0.0505 0.3216],[0.9892 0.9982 0.9479 0.6535 0.9466 0.6717],0.0036749732314827073,1.0,1.0,[0.     0.0088 0.0006 0.0497 0.3397 0.0505 0.3216]
91,1.82,[1.6855],[0.006],[14.3267  0.3146  0.2035  0.1912  0.3653  0.2852  0.1197],[0.0088 0.001  0.0497 0.3412 0.0508 0.3232],7.58929003853773,519.6526316653885,True,[0.0145],[0.0021 0.0012 0.0023 0.0068 0.0029 0.0068],[0.0088 0.0006 0.0496 0.3389 0.0503 0.3193],[0.9892 0.9982 0.9481 0.6542 0.9468 0.6739],0.0036973700821433635,1.0,1.0,[0.     0.0088 0.0006 0.0496 0.3389 0.0503 0.3193]
92,1.84,[1.6855],[-0.0073],[14.3264  0.3146  0.2035  0.1912  0.3653  0.2852  0.1197],[0.0088 0.001  0.0496 0.3423 0.0506 0.3214],7.589679251981186,527.2423109173698,True,[0.0145],[0.0021 0.0012 0.0024 0.0069 0.0029 0.0069],[0.0087 0.0006 0.0493 0.3424 0.0502 0.3187],[0.9892 0.9982 0.9484 0.6507 0.9469 0.6745],0.0037199778562927144,1.0,1.0,[0.     0.0087 0.0006 0.0493 0.3424 0.0502 0.3187]
93,1.86,[1.6852],[-0.0183],[14.3241  0.3146  0.2035  0.1911  0.3653  0.2852  0.1197],[0.0087 0.001  0.0495 0.3427 0.0506 0.3234],7.588080057040993,534.8303909744108,True,[0.0148],[0.0021 0.0012 0.0024 0.007  0.0029 0.0069],[0.0087 0.0006 0.049  0.3427 0.0504 0.3236],[0.9893 0.9982 0.9487 0.6503 0.9467 0.6695],0.003743111944830605,1.0,1.0,[0.     0.0087 0.0006 0.049  0.3427 0.0504 0.3236]
94,1.8800000000000001,[1.6848],[-0.0195],[14.3207  0.3146  0.2035  0.1911  0.3653  0.2852  0.1197],[0.0087 0.001  0.0492 0.3499 0.0509 0.3255],7.582097627767156,542.412488602178,True,[0.0152],[0.0021 0.0012 0.0024 0.007  0.0029 0.007 ],[0.0086 0.0006 0.0486 0.3508 0.0509 0.3258],[0.9894 0.9982 0.949  0.6421 0.9462 0.6672],0.003766400700949683,1.0,1.0,[0.     0.0086 0.0006 0.0486 0.3508 0.0509 0.3258]
95,1.9000000000000001,[1.6844],[-0.0148],[14.3178  0.3145  0.2034  0.1911  0.3654  0.2852  0.1197],[0.0087 0.001  0.0495 0.3484 0.0509 0.3287],7.580850548819324,549.9933391509973,True,[0.0156],[0.0021 0.0012 0.0024 0.0071 0.0029 0.0071],[0.0086 0.0006 0.0495 0.3462 0.0508 0.3291],[0.9894 0.9982 0.9481 0.6467 0.9462 0.6638],0.003789650020274558,1.0,1.0,[0.     0.0086 0.0006 0.0495 0.3462 0.0508 0.3291]
96,1.92,[1.6842],[-0.0105],[14.3157  0.3145  0.2034  0.1911  0.3654  0.2852  0.1198],[0.0086 0.001  0.0494 0.3474 0.051  0.3287],7.581217123279005,557.5745562742762,True,[0.0158],[0.0021 0.0012 0.0024 0.0072 0.0029 0.0071],[0.0085 0.0006 0.0493 0.3459 0.051  0.3287],[0.9894 0.9982 0.9483 0.6469 0.9461 0.6642],0.0038125765369439873,1.0,1.0,[0.     0.0085 0.0006 0.0493 0.3459 0.051  0.3287]
97,1.94,[1.684],[-0.0049],[14.3144  0.3145  0.2034  0.1911  0.3654  0.2852  0.1198],[0.0086 0.001  0.0493 0.3491 0.0513 0.3296],7.579508874887008,565.1540651491632,True,[0.016],[0.0021 0.0012 0.0024 0.0072 0.0029 0.0072],[0.0085 0.0006 0.049  0.3493 0.0513 0.3297],[0.9894 0.9982 0.9486 0.6435 0.9458 0.6631],0.003836138630705335,1.0,1.0,[0.     0.0085 0.0006 0.049  0.3493 0.0513 0.3297]
98,1.96,[1.684],[0.0013],[14.3142  0.3145  0.2034  0.1911  0.3654  0.2852  0.1198],[0.0086 0.001  0.0492 0.3483 0.0512 0.3295],7.5800194114545825,572.7340845606178,True,[0.016],[0.0021 0.0012 0.0024 0.0073 0.0029 0.0072],[0.0085 0.0006 0.0489 0.3472 0.0512 0.3293],[0.9894 0.9982 0.9487 0.6455 0.9458 0.6635],0.0038590802650838116,1.0,1.0,[0.     0.0085 0.0006 0.0489 0.3472 0.0512 0.3293]
99,1.98,[1.6841],[0.0056],[14.3148  0.3145  0.2034  0.1911  0.3654  0.2852  0.1198],[0.0086 0.001  0.0491 0.3474 0.0512 0.3291],7.580894977455526,580.3149795380733,True,[0.0159],[0.0021 0.0012 0.0024 0.0073 0.003  0.0073],[0.0085 0.0006 0.0489 0.346  0.0512 0.3286],[0.9894 0.9982 0.9487 0.6467 0.9459 0.6642],0.00388203238471968,1.0,1.0,[0.     0.0085 0.0006 0.0489 0.346  0.0512 0.3286]
