episode,steps_completed,total_reward,final_pose_error,avg_fatigue,force_scale,activation_slowdown,avg_exo_action,avg_exo_torque,task_solved,episode_MF,episode_MA,episode_MR
0,100,644.5488734733048,0.03015808614371185,0.5109628984258922,0.8535670507345021,2.5594211402378675,0.989928,0.989928,True,[0.28   0.3769 0.7745 0.0719 0.9927 0.5697],[0.6973 0.189  0.1881 0.5775 0.0023 0.3157],[0.0228 0.4341 0.0375 0.3506 0.005  0.1145]
1,100,731.7433948290897,0.03036668859783731,0.6720218445454599,0.8933433427137629,2.8504090442207497,0.99101776,0.99101776,True,[0.9417 0.7068 0.814  0.0373 0.5875 0.9448],[0.0467 0.2852 0.0771 0.5575 0.226  0.0465],[0.0116 0.008  0.109  0.4052 0.1865 0.0088]
2,100,630.1813878274843,0.03019352383796159,0.756859047377274,0.8822984427920906,2.989910685189194,0.9894488,0.9894488,True,[0.3496 0.9866 0.9138 0.818  0.8374 0.6357],[0.1658 0.0036 0.0089 0.0082 0.0716 0.2725],[0.4846 0.0098 0.0772 0.1738 0.091  0.0918]
3,100,554.8490805062903,0.030490615009494793,0.4016449443385877,0.8105246514863677,2.1343949840224883,0.96392286,0.96392286,True,[0.9935 0.2825 0.2732 0.3154 0.4983 0.047 ],[0.0015 0.3126 0.4722 0.5409 0.4355 0.4043],[0.005  0.4049 0.2546 0.1437 0.0662 0.5488]
4,100,460.3338179915295,0.030593186831246566,0.48237609453764513,0.8157976875744255,2.631588135657661,0.98683304,0.98683304,True,[0.7094 0.5536 0.5275 0.4151 0.5855 0.1032],[0.1629 0.2213 0.2502 0.2345 0.3823 0.4311],[0.1277 0.2251 0.2224 0.3504 0.0321 0.4657]
5,100,565.750150858541,0.03014826966865458,0.4364871353683358,0.8802156898755805,2.1917900565080237,0.94177574,0.94177574,True,[0.1897 0.7101 0.1222 0.7388 0.535  0.3231],[0.6794 0.2146 0.1738 0.222  0.325  0.6009],[0.1309 0.0753 0.704  0.0392 0.14   0.076 ]
6,100,643.7879778527976,0.030152581988771132,0.5983345673954066,0.891286795520274,2.871732539205269,0.98590714,0.98590714,True,[0.6277 0.7312 0.3946 0.7739 0.7109 0.3517],[0.3695 0.2085 0.3448 0.1711 0.1023 0.238 ],[0.0028 0.0603 0.2606 0.055  0.1868 0.4103]
7,100,606.999755322885,0.030206044529699216,0.4988992807594376,0.8049830535792954,2.4809402314920543,0.9358758,0.9358758,True,[0.4463 0.9075 0.8621 0.2514 0.0855 0.4406],[0.4957 0.0128 0.0902 0.1475 0.3697 0.5352],[0.058  0.0797 0.0477 0.601  0.5448 0.0242]
8,100,727.6429499033867,0.03041850087744047,0.4596093723084154,0.869834278884051,2.811958045796747,0.9941355,0.9941355,True,[0.3583 0.2539 0.9752 0.1937 0.5373 0.4393],[0.2336 0.1098 0.0226 0.7793 0.0518 0.2324],[0.4081 0.6363 0.0023 0.027  0.4109 0.3283]
9,100,557.6705816178625,0.030360639155245117,0.6232472953367865,0.844518347513418,2.4272438950005846,0.9743904,0.9743904,True,[0.6476 0.8197 0.1728 0.8965 0.5711 0.6317],[0.2555 0.0237 0.6783 0.0721 0.3731 0.0394],[0.097  0.1565 0.1489 0.0314 0.0558 0.3289]
10,100,-58.7108088978423,0.14929868438773353,0.6020705364633137,0.8476405511503787,2.877653417150688,1.0,1.0,True,[0.4484 0.7065 0.2032 0.5359 0.8218 0.8966],[0.4034 0.0025 0.626  0.2543 0.0872 0.0161],[0.1482 0.291  0.1708 0.2098 0.091  0.0874]
11,100,-166.78303190366591,1.0492955386002927,0.39724563809919616,0.8568653307221381,2.2031415079909857,1.0,1.0,False,[0.1798 0.5962 0.0372 0.0921 0.613  0.8653],[0.0421 0.3681 0.1344 0.2552 0.3777 0.0678],[0.7782 0.0357 0.8285 0.6526 0.0093 0.0669]
12,100,552.0005969775216,0.030653650427992396,0.44109133675580603,0.8546596946191071,2.6891449322150454,0.97467023,0.97467023,True,[0.9681 0.1401 0.0028 0.8952 0.5561 0.0842],[0.0277 0.4186 0.1815 0.0853 0.1861 0.6306],[0.0042 0.4413 0.8157 0.0194 0.2577 0.2852]
13,100,593.4842560850221,0.03030425835489714,0.5370879620295906,0.8456385542715218,2.0331911815443013,0.9890659,0.9890659,True,[0.9751 0.0037 0.3492 0.3649 0.8576 0.6721],[0.0015 0.7459 0.0986 0.154  0.0045 0.1267],[0.0234 0.2504 0.5523 0.4811 0.1379 0.2011]
14,100,769.9928728352269,0.03000612662799984,0.6575926783563942,0.8654642262901985,2.2666841715764736,0.99227613,0.99227613,True,[0.9276 0.0539 0.5195 0.9095 0.7256 0.8094],[0.0618 0.2996 0.3317 0.032  0.0497 0.098 ],[0.0106 0.6464 0.1488 0.0585 0.2247 0.0926]
15,100,639.2134373821482,0.030202004775674585,0.3294938731069769,0.896724965878241,2.3747263154820635,0.94772047,0.94772047,True,[0.4311 0.4477 0.087  0.4189 0.2606 0.3317],[0.3665 0.4475 0.255  0.5434 0.5519 0.6036],[0.2024 0.1048 0.658  0.0378 0.1876 0.0647]
16,100,592.6195226328163,0.03047080638800992,0.41664258859242437,0.8666500633532636,2.918437176202612,0.9625324,0.9625324,True,[0.2472 0.8708 0.0351 0.8451 0.3755 0.1261],[0.0561 0.0641 0.039  0.0205 0.2964 0.831 ],[0.6967 0.0651 0.9259 0.1344 0.3281 0.0429]
17,100,594.9036818645397,0.030270998136063376,0.45077056754729233,0.815456255282949,2.8167581292982518,0.9395264,0.9395264,True,[0.8012 0.0307 0.8427 0.6164 0.1149 0.2987],[0.1711 0.3351 0.1427 0.1114 0.5134 0.3726],[0.0277 0.6342 0.0146 0.2722 0.3717 0.3287]
18,100,598.5757976835885,0.030291307360688968,0.6575556357818183,0.8320900595263211,2.3992964603795817,0.98247755,0.98247755,True,[0.9002 0.8025 0.6218 0.5039 0.6538 0.4631],[0.0947 0.0785 0.1485 0.3553 0.3217 0.3793],[0.0051 0.1189 0.2297 0.1408 0.0245 0.1576]
19,100,409.1189058926828,0.03065212782601856,0.42814455510056826,0.8406874837693465,2.4196956936642575,0.9508188,0.9508188,True,[0.0509 0.8289 0.6133 0.5615 0.3167 0.1975],[0.1596 0.0836 0.2541 0.1197 0.116  0.5984],[0.7895 0.0875 0.1325 0.3188 0.5673 0.204 ]
20,100,650.629801876744,0.03010983147252322,0.6535834049402424,0.895325724558301,2.0059007759279415,0.98070526,0.98070526,True,[0.4971 0.9759 0.5561 0.51   0.9126 0.4698],[2.2583e-04 1.5472e-02 4.3573e-01 9.9143e-02 6.0230e-02 7.7889e-02],[0.5027 0.0086 0.0081 0.3909 0.0272 0.4523]
21,100,-165.07729369548022,1.0960383715166404,0.6427546496861423,0.8246671369410459,2.5806713705663307,1.0,1.0,False,[0.8107 0.0504 0.8636 0.9976 0.3548 0.7794],[0.0282 0.9298 0.0297 0.0017 0.4171 0.1561],[0.1611 0.0198 0.1067 0.0007 0.2281 0.0645]
22,100,553.0211297449042,0.030385906355389736,0.44294544097855426,0.8553998464604778,2.621708338469604,0.96327585,0.96327585,True,[0.1576 0.5939 0.6174 0.0371 0.4005 0.8512],[0.6026 0.0988 0.0301 0.3622 0.1082 0.1357],[0.2399 0.3073 0.3525 0.6006 0.4913 0.0131]
23,100,604.7175756722805,0.030420946293654882,0.33388488105309055,0.8923946301883461,2.6127190773684448,0.92622983,0.92622983,True,[0.0322 0.4722 0.47   0.2737 0.0623 0.6929],[0.5845 0.335  0.4789 0.0305 0.7766 0.2038],[0.3833 0.1928 0.0511 0.6958 0.1611 0.1033]
24,100,678.7150871274195,0.030140921523588382,0.4391242326847402,0.8335320546678359,2.844940207958845,0.95760757,0.95760757,True,[0.5337 0.7564 0.089  0.6432 0.2517 0.3608],[0.3005 0.1127 0.7795 0.177  0.3325 0.0613],[0.1658 0.1309 0.1315 0.1798 0.4158 0.578 ]
25,100,555.467756056843,0.03047276700510393,0.4582750917257547,0.84509792214032,2.2579282308779076,0.9898265,0.9898265,True,[0.5389 0.0241 0.8061 0.0283 0.9086 0.4437],[0.2302 0.4025 0.0098 0.2925 0.0088 0.2655],[0.2309 0.5734 0.1841 0.6792 0.0826 0.2908]
26,100,494.8199092794308,0.030578352303670897,0.49339034646021207,0.8170402004735305,2.6595005353565617,0.9323518,0.9323518,True,[0.8717 0.7995 0.6385 0.0243 0.0592 0.5672],[0.0868 0.1647 0.2512 0.036  0.2664 0.1424],[0.0415 0.0358 0.1103 0.9397 0.6744 0.2904]
27,100,409.5095024941605,0.030585476431845393,0.5096173307987151,0.8294265707557567,2.722050671736335,0.99890816,0.99890816,True,[0.6838 0.3203 0.5544 0.585  0.8142 0.1   ],[0.306  0.5678 0.2865 0.3764 0.0147 0.3361],[0.0103 0.1119 0.1591 0.0386 0.1711 0.5639]
28,100,573.1563968371493,0.030270734759998863,0.5307204981593084,0.8959044022010134,2.521539780211442,0.9792723,0.9792723,True,[0.3688 0.5254 0.7102 0.6974 0.8222 0.0603],[0.1261 0.3237 0.0459 0.2793 0.0872 0.5152],[0.5051 0.1508 0.2439 0.0233 0.0906 0.4245]
29,100,700.9935670843819,0.030264861454519565,0.18578246364154283,0.8582998100000252,2.84019392039024,0.9584196,0.9584196,True,[0.6898 0.1284 0.0063 0.0283 0.1464 0.1155],[0.0645 0.8617 0.1839 0.0076 0.2589 0.0917],[0.2457 0.0099 0.8099 0.9642 0.5946 0.7928]
30,100,632.4115172707964,0.030162146199587347,0.5578460886789226,0.8854227147405453,2.864646009751248,0.9694821,0.9694821,True,[0.3026 0.9948 0.8658 0.5362 0.4428 0.2048],[0.6016 0.0049 0.0597 0.1777 0.0262 0.6809],[9.5807e-02 2.9799e-04 7.4483e-02 2.8602e-01 5.3102e-01 1.1436e-01]
31,100,-143.3053807324235,0.4788082358221226,0.40596965420238584,0.8285917210952879,2.865599342218422,1.0,1.0,False,[0.8847 0.0094 0.4253 0.2577 0.6785 0.1803],[0.0564 0.0327 0.3512 0.4076 0.1487 0.7759],[0.0589 0.9579 0.2235 0.3347 0.1728 0.0439]
32,100,-149.64227456084922,0.3502725526442543,0.3022303989630515,0.810693855926617,2.136550698932611,1.0,1.0,False,[0.0817 0.3051 0.179  0.2674 0.9602 0.0199],[0.1288 0.5026 0.3655 0.4301 0.029  0.8184],[0.7895 0.1922 0.4554 0.3025 0.0108 0.1616]
33,100,432.84512028144616,0.030752430332234848,0.5234163063261461,0.8576686373851171,2.9934331514300516,1.0,1.0,True,[0.087  0.84   0.0083 0.7861 0.9634 0.4557],[0.339  0.091  0.5786 0.0081 0.0196 0.2615],[0.574  0.069  0.4131 0.2058 0.017  0.2828]
34,100,-100.02513763646273,0.30172549618010325,0.38913319119694695,0.8285828600527096,2.412177781875917,0.9289457,0.9289457,False,[0.1233 0.5738 0.0938 0.9286 0.0716 0.5438],[0.6385 0.2761 0.2712 0.038  0.8567 0.1181],[0.2383 0.1502 0.635  0.0334 0.0717 0.3381]
35,100,591.5541947435759,0.0301935123916377,0.4839193073247017,0.8327683402052551,2.6293876881693334,0.99214333,0.99214333,True,[0.1287 0.4155 0.141  0.4591 0.7722 0.9869],[7.2436e-01 5.6027e-01 5.9172e-01 1.4908e-01 1.9068e-01 4.2245e-04],[0.147  0.0242 0.2672 0.3918 0.0371 0.0126]
36,100,-170.96695928096057,0.8866075257748431,0.5514128783053741,0.8060578235752135,2.8537754264734403,1.0,1.0,False,[0.6946 0.4167 0.8012 0.5853 0.3549 0.4558],[0.3024 0.5679 0.1463 0.2947 0.5671 0.0471],[0.003  0.0154 0.0525 0.12   0.078  0.4971]
37,100,464.1958497688663,0.030530146086576337,0.3495664431290075,0.8068857506538109,2.6012639993409863,0.95611054,0.95611054,True,[0.5283 0.1165 0.6818 0.1613 0.2801 0.3293],[0.2222 0.1211 0.1936 0.1966 0.2358 0.0371],[0.2495 0.7624 0.1246 0.6421 0.4841 0.6336]
38,100,639.5419316338247,0.03010844222221909,0.338881803530803,0.8678827817673563,2.110467282747619,0.9186007,0.9186007,True,[0.0625 0.0495 0.6159 0.7649 0.3945 0.1461],[0.8477 0.911  0.0464 0.1336 0.4969 0.6815],[0.0899 0.0395 0.3377 0.1015 0.1086 0.1724]
39,100,559.3418259990304,0.030345450622129455,0.5677852178269344,0.8293851816464672,2.7007075048544618,0.9905727,0.9905727,True,[0.5079 0.2417 0.9297 0.4737 0.7107 0.5429],[0.2506 0.7159 0.0594 0.0373 0.1202 0.1458],[0.2415 0.0424 0.0108 0.489  0.1691 0.3113]
40,100,-169.19947524900425,0.8216423650256623,0.4585419232352625,0.8098805718424431,2.205614605524812,1.0,1.0,False,[0.5635 0.3306 0.5906 0.3035 0.7898 0.1733],[1.8336e-01 3.4949e-04 1.8424e-01 1.5061e-01 1.7728e-02 4.8773e-01],[0.2531 0.6691 0.2252 0.5459 0.1924 0.3389]
41,100,0.6981520192947479,0.2898036256413854,0.4694711325959527,0.8793411899440723,2.4262049416397504,0.81398445,0.81398445,False,[0.3937 0.7492 0.8772 0.0896 0.0597 0.6474],[0.0973 0.1133 0.0937 0.6922 0.2549 0.2269],[0.5091 0.1375 0.0291 0.2182 0.6854 0.1258]
42,100,-149.02107368863267,0.9629836166797174,0.624715329733342,0.8085359515098148,2.209193840902338,1.0,1.0,False,[0.0214 0.5352 0.9281 0.8358 0.502  0.9259],[0.653  0.2743 0.0176 0.067  0.3075 0.0237],[0.3255 0.1905 0.0543 0.0972 0.1905 0.0504]
43,100,-197.00634168825917,1.2188248884273534,0.5415129145141447,0.8311137711173514,2.5059806374008575,1.0,1.0,False,[0.2494 0.6891 0.5319 0.3341 0.5077 0.9368],[0.6694 0.3042 0.265  0.1245 0.2748 0.0377],[0.0812 0.0066 0.203  0.5414 0.2175 0.0256]
44,100,570.6136393816226,0.030502594497090918,0.47254136297411015,0.8765467208060644,2.2065897067044125,0.96604836,0.96604836,True,[0.6914 0.3479 0.0732 0.8694 0.5259 0.3274],[0.214  0.5645 0.1767 0.0893 0.3697 0.0747],[0.0946 0.0876 0.7501 0.0413 0.1044 0.5978]
45,100,568.3770817526464,0.030373503136131852,0.4454384554517162,0.8024486779278497,2.9460951951520884,0.99394363,0.99394363,True,[0.3794 0.3741 0.3257 0.8217 0.7104 0.0613],[0.2763 0.2199 0.4259 0.0822 0.0869 0.1439],[0.3443 0.406  0.2484 0.0962 0.2027 0.7948]
46,100,233.39860657629507,0.24403713014357908,0.5367698239175608,0.8228079234659323,2.634359561707819,0.7624704,0.7624704,False,[0.4669 0.4391 0.7098 0.8719 0.0297 0.7032],[0.0665 0.2024 0.2888 0.0533 0.1662 0.1412],[0.4666 0.3585 0.0014 0.0748 0.8041 0.1556]
47,100,677.275918728326,0.03017326770775508,0.5034592344198852,0.8984403872183307,2.217805515877399,0.9556599,0.9556599,True,[0.2698 0.6049 0.9028 0.7183 0.3636 0.1614],[0.4212 0.0879 0.0914 0.1129 0.0572 0.6115],[0.3089 0.3072 0.0058 0.1688 0.5791 0.2272]
48,100,275.60442528131813,0.20482214712082492,0.5609973059222105,0.8331087911959502,2.7777564846417495,0.8788861,0.8788861,False,[0.6742 0.4537 0.2504 0.8095 0.2074 0.9708],[0.3127 0.0298 0.1077 0.0957 0.4366 0.002 ],[0.0131 0.5164 0.6419 0.0948 0.356  0.0272]
49,100,622.6093227836664,0.030320047560282948,0.5899025643361943,0.8838968991202578,2.5231216310002265,0.950713,0.950713,True,[0.616  0.5684 0.891  0.7081 0.2797 0.4762],[0.2602 0.1163 0.0213 0.1854 0.1064 0.3913],[0.1238 0.3154 0.0877 0.1065 0.6138 0.1325]
