episode,mf_value,avg_fatigue,force_scale,activation_slowdown,impairment,steps,total_reward,mean_exo_torque,mean_ctrl_scalar,mean_ctrl_vec,mean_imu,log_csv,video
1,0.0,0.0,0.8,2.0,0.0,100,-178.7575755619781,0.9475676947832108,0.5344493985176086,"[0.9475677609443665, 0.006242935545742512, 0.006242935545742512, 0.006242935545742512, 0.9249497056007385, 0.9249497056007385, 0.9249497056007385]",0.3403739454736933,results/assisted_only\episode_01_assisted_log.csv,videos/assisted_only\episode_01_assisted.mp4
2,0.03275862068965517,0.032758619636297226,0.8,2.0,0.055689653381705284,100,-183.40987905369187,0.9763148766756058,0.5384177565574646,"[0.976314902305603, 0.006238177884370089, 0.006238177884370089, 0.006238177884370089, 0.924631655216217, 0.924631655216217, 0.924631655216217]",0.3568548115761951,results/assisted_only\episode_02_assisted_log.csv,videos/assisted_only\episode_02_assisted.mp4
3,0.06551724137931034,0.06551723927259445,0.8,2.0,0.11137930676341057,100,-188.6938997344861,0.9898586428165436,0.5397602915763855,"[0.9898586273193359, 0.00622406555339694, 0.00622406555339694, 0.00622406555339694, 0.9232637882232666, 0.9232637882232666, 0.9232637882232666]",0.3576307237800211,results/assisted_only\episode_03_assisted_log.csv,videos/assisted_only\episode_03_assisted.mp4
4,0.0982758620689655,0.09827586263418198,0.8,2.0,0.16706896647810934,100,668.8522427192804,0.5550002329051494,0.17569155991077423,"[0.5550002455711365, 0.0265414547175169, 0.006443066988140345, 0.07785288989543915, 0.23317423462867737, 0.1338113248348236, 0.19701752066612244]",0.4872282270263531,results/assisted_only\episode_04_assisted_log.csv,videos/assisted_only\episode_04_assisted.mp4
5,0.13103448275862067,0.1310344785451889,0.8,2.0,0.22275861352682114,100,-103.78448501836782,0.7917907059192657,0.481790155172348,"[0.791790783405304, 0.0062849754467606544, 0.006207698956131935, 0.006193075329065323, 0.8546650409698486, 0.8462890386581421, 0.861100435256958]",0.5133405073959147,results/assisted_only\episode_05_assisted_log.csv,videos/assisted_only\episode_05_assisted.mp4
6,0.16379310344827586,0.16379310190677643,0.8,2.0,0.27844827324151994,100,603.0611800850778,0.7438543060421944,0.24801397323608398,"[0.743854284286499, 0.014971042051911354, 0.0062787230126559734, 0.051988180726766586, 0.3764427900314331, 0.19678784906864166, 0.3457750678062439]",0.5076944916826324,results/assisted_only\episode_06_assisted_log.csv,videos/assisted_only\episode_06_assisted.mp4
7,0.196551724137931,0.19655172526836395,0.8,2.0,0.3341379329562187,100,-171.58004236674134,0.9930510145425796,0.48568853735923767,"[0.9930509924888611, 0.0060727582313120365, 0.0060727582313120365, 0.0060727582313120365, 0.7961834669113159, 0.7961834669113159, 0.7961834669113159]",0.4994583239452913,results/assisted_only\episode_07_assisted_log.csv,videos/assisted_only\episode_07_assisted.mp4
8,0.22931034482758617,0.22931034862995148,0.8,2.0,0.3898275926709175,100,-64.14089875614287,0.8734274142980576,0.4528903067111969,"[0.8734272718429565, 0.006129776127636433, 0.0060256170108914375, 0.0060663544572889805, 0.7616695165634155, 0.7531886100769043, 0.7637247443199158]",0.6068348901462741,results/assisted_only\episode_08_assisted_log.csv,videos/assisted_only\episode_08_assisted.mp4
9,0.26206896551724135,0.2620689570903778,0.8,2.0,0.4455172270536423,100,620.6320271361689,0.7080931644141674,0.2132790982723236,"[0.7080931067466736, 0.01753510907292366, 0.006090797949582338, 0.057499244809150696, 0.29946938157081604, 0.15709738433361053, 0.24716868996620178]",0.5766455278309877,results/assisted_only\episode_09_assisted_log.csv,videos/assisted_only\episode_09_assisted.mp4
10,0.29482758620689653,0.29482758045196533,0.8,2.0,0.501206886768341,100,594.4873735004,0.7662069411575794,0.23533906042575836,"[0.7662070393562317, 0.014942002482712269, 0.005972188897430897, 0.05156707763671875, 0.3414255380630493, 0.17315362393856049, 0.29410597681999207]",0.5912529629126948,results/assisted_only\episode_10_assisted_log.csv,videos/assisted_only\episode_10_assisted.mp4
11,0.3275862068965517,0.32758620381355286,0.8,2.0,0.5568965464830399,100,-169.3571925246191,1.0,0.4309050440788269,"[1.0, 0.005762847140431404, 0.005762847140431404, 0.005762847140431404, 0.6663488745689392, 0.6663488745689392, 0.6663488745689392]",0.5161302590370178,results/assisted_only\episode_11_assisted_log.csv,videos/assisted_only\episode_11_assisted.mp4
12,0.36034482758620684,0.3603448271751404,0.8,2.0,0.6125862061977386,100,634.3260117978291,0.6525808641314507,0.1849142462015152,"[0.6525808572769165, 0.026456182822585106, 0.00592572707682848, 0.07299071550369263, 0.2343672215938568, 0.12061367183923721, 0.18146534264087677]",0.6824847941474337,results/assisted_only\episode_12_assisted_log.csv,videos/assisted_only\episode_12_assisted.mp4
13,0.393103448275862,0.3931034505367279,0.8,2.0,0.6682758659124374,100,613.6384928458698,0.7176927244663238,0.20389477908611298,"[0.7176927328109741, 0.02110547572374344, 0.005736644379794598, 0.0629955306649208, 0.27055391669273376, 0.13415208458900452, 0.2150271087884903]",0.7031881876394618,results/assisted_only\episode_13_assisted_log.csv,videos/assisted_only\episode_13_assisted.mp4
14,0.4258620689655172,0.42586207389831543,0.8,2.0,0.7239655256271362,100,651.8630020249591,0.6080412627756595,0.1720038205385208,"[0.6080411672592163, 0.04248351603746414, 0.006029160693287849, 0.09640558063983917, 0.19995926320552826, 0.09434542804956436, 0.15676255524158478]",0.7815863856458418,results/assisted_only\episode_14_assisted_log.csv,videos/assisted_only\episode_14_assisted.mp4
15,0.45862068965517233,0.45862069725990295,0.8,2.0,0.779655185341835,100,613.9220431903515,0.7187414084374905,0.1997424215078354,"[0.7187413573265076, 0.024458784610033035, 0.00552759924903512, 0.0682646632194519, 0.25680428743362427, 0.12116149067878723, 0.20323871076107025]",0.7782925210196118,results/assisted_only\episode_15_assisted_log.csv,videos/assisted_only\episode_15_assisted.mp4
16,0.4913793103448275,0.4913793206214905,0.8,2.0,0.8353448450565338,100,536.7058940419623,0.877535052895546,0.26085707545280457,"[0.8775351643562317, 0.011818771250545979, 0.005170935299247503, 0.04492216184735298, 0.37534472346305847, 0.16997958719730377, 0.3412281274795532]",0.7331827047040861,results/assisted_only\episode_16_assisted_log.csv,videos/assisted_only\episode_16_assisted.mp4
17,0.5241379310344827,0.5241379141807556,0.8,2.0,0.8910344541072845,100,482.2009643691168,0.9501558208465576,0.2993813455104828,"[0.9501560926437378, 0.008362575434148312, 0.004962487146258354, 0.030918531119823456, 0.4463824927806854, 0.21508897840976715, 0.43979838490486145]",0.7239913223404437,results/assisted_only\episode_17_assisted_log.csv,videos/assisted_only\episode_17_assisted.mp4
18,0.5568965517241379,0.5568965673446655,0.8,2.0,0.9467241644859313,100,486.1565463516666,0.9472728830575943,0.28816646337509155,"[0.9472728967666626, 0.008506123907864094, 0.004784620366990566, 0.032488755881786346, 0.41956624388694763, 0.1950896829366684, 0.4094567894935608]",0.7485537274181843,results/assisted_only\episode_18_assisted_log.csv,videos/assisted_only\episode_18_assisted.mp4
19,0.5896551724137931,0.5896551609039307,0.8,2.0,1.002413773536682,100,633.066077896027,0.6715907628834248,0.18082168698310852,"[0.6715907454490662, 0.045612893998622894, 0.005385085940361023, 0.09127555042505264, 0.20472560822963715, 0.08678940683603287, 0.16037259995937347]",0.9920752404633094,results/assisted_only\episode_19_assisted_log.csv,videos/assisted_only\episode_19_assisted.mp4
20,0.6224137931034482,0.6224138140678406,0.8,2.0,1.058103483915329,100,643.0395432727296,0.644171607196331,0.17104022204875946,"[0.6441716551780701, 0.05115732178092003, 0.005487480666488409, 0.10038082301616669, 0.18108679354190826, 0.07638228684663773, 0.13861528038978577]",1.025129057896811,results/assisted_only\episode_20_assisted_log.csv,videos/assisted_only\episode_20_assisted.mp4
21,0.6551724137931034,0.6551724076271057,0.8,2.0,1.1137930929660798,100,-133.44478680339788,1.0,0.2911103069782257,"[1.0, 0.004161294549703598, 0.004161294549703598, 0.004161294549703598, 0.34176284074783325, 0.34176284074783325, 0.34176284074783325]",0.8931705203186721,results/assisted_only\episode_21_assisted_log.csv,videos/assisted_only\episode_21_assisted.mp4
22,0.6879310344827585,0.6879310607910156,0.8,2.0,1.1694828033447264,100,616.6945612510299,0.7029357647895813,0.1800919771194458,"[0.7029358744621277, 0.03737954795360565, 0.004687973763793707, 0.07405693084001541, 0.19374774396419525, 0.09535706788301468, 0.15247869491577148]",1.0852260090238268,results/assisted_only\episode_22_assisted_log.csv,videos/assisted_only\episode_22_assisted.mp4
23,0.7206896551724137,0.7206896543502808,0.8,2.0,1.2251724123954773,100,-114.46113810934929,1.0,0.26307523250579834,"[1.0, 0.0036632439587265253, 0.0036632439587265253, 0.0036632439587265253, 0.2768456041812897, 0.2768456041812897, 0.2768456041812897]",1.0307805413659663,results/assisted_only\episode_23_assisted_log.csv,videos/assisted_only\episode_23_assisted.mp4
24,0.7534482758620689,0.7534482479095459,0.8,2.0,1.280862021446228,100,638.9404622976555,0.6018029040098191,0.14850951731204987,"[0.6018028855323792, 0.055891212075948715, 0.005147865507751703, 0.11370471864938736, 0.1267857402563095, 0.0487188920378685, 0.08751532435417175]",1.122333531585864,results/assisted_only\episode_24_assisted_log.csv,videos/assisted_only\episode_24_assisted.mp4
25,0.786206896551724,0.7862069010734558,0.8,2.0,1.3365517318248747,100,601.676294023011,0.7427570571005344,0.17514681816101074,"[0.7427572011947632, 0.030675239861011505, 0.0037159877829253674, 0.06277792900800705, 0.1708052009344101, 0.0857444554567337, 0.12955158948898315]",1.165915772336448,results/assisted_only\episode_25_assisted_log.csv,videos/assisted_only\episode_25_assisted.mp4
26,0.8189655172413792,0.818965494632721,0.8,2.0,1.3922413408756256,100,615.3797371052466,0.6234091041982174,0.14455346763134003,"[0.6234090924263, 0.04820561408996582, 0.004831209313124418, 0.10158110409975052, 0.11545021086931229, 0.04248817265033722, 0.07590897381305695]",1.2089215553442227,results/assisted_only\episode_26_assisted_log.csv,videos/assisted_only\episode_26_assisted.mp4
27,0.8517241379310344,0.8517241477966309,0.8,2.0,1.4479310512542725,100,546.1461999327628,0.8771256850659848,0.1865961253643036,"[0.8771257996559143, 0.014952541328966618, 0.0025828999932855368, 0.026564469560980797, 0.1434440016746521, 0.10203263908624649, 0.13947048783302307]",1.229083405707497,results/assisted_only\episode_27_assisted_log.csv,videos/assisted_only\episode_27_assisted.mp4
28,0.8844827586206896,0.884482741355896,0.8,2.0,1.503620660305023,100,592.989856840784,0.6198157133162021,0.1340731531381607,"[0.6198158860206604, 0.04190269112586975, 0.004660552367568016, 0.09237024188041687, 0.09316059201955795, 0.03078114055097103, 0.05582094565033913]",1.2631278804684554,results/assisted_only\episode_28_assisted_log.csv,videos/assisted_only\episode_28_assisted.mp4
29,0.9172413793103447,0.9172413945198059,0.8,2.0,1.55931037068367,100,578.1309066333321,0.6551089955866337,0.130867600440979,"[0.6551090478897095, 0.031051866710186005, 0.003673122264444828, 0.0674796998500824, 0.07828592509031296, 0.028993098065257072, 0.051480501890182495]",1.2887705535603162,results/assisted_only\episode_29_assisted_log.csv,videos/assisted_only\episode_29_assisted.mp4
30,0.95,0.949999988079071,0.8,2.0,1.6149999797344208,100,585.6490740002173,0.6081996895372868,0.11260558664798737,"[0.6081997156143188, 0.033718906342983246, 0.0035361177287995815, 0.04535633698105812, 0.048532791435718536, 0.01760340854525566, 0.0312919057905674]",1.2814346823681262,results/assisted_only\episode_30_assisted_log.csv,videos/assisted_only\episode_30_assisted.mp4
